"","effect","b.lab","b.parm","b","ci.lb","ci.ub","pval","tau","I2","QEp","AICc"
"1","Latency last trial log(Ratio of mean)x100","Overall","intrcpt",25.7579470301257,20.3217303732614,31.1941636869901,1.59108831983476e-20,4.64791528159269,24.4576488675637,0.26845849394745,101.48131286454
"2","Latency last trial log(Ratio of mean)x100","Overall minus Bowers et al. 2015","intrcpt",25.7579470301257,20.3217303732614,31.1941636869901,1.59108831983476e-20,4.64791528159269,24.4576488675637,0.26845849394745,101.48131286454
"3","Latency last trial log(Ratio of mean)x100","Overall minus Viberg et al. 2003","intrcpt",25.7666621866849,20.0706319266295,31.4626924467403,7.57338275384653e-19,4.94769258254611,32.0176455282601,0.117955610167097,77.6130419033955
"4","Latency last trial log(Ratio of mean)x100","Overall minus Viberg et al. 2006","intrcpt",25.7579470301257,20.3217303732614,31.1941636869901,1.59108831983476e-20,4.64791528159269,24.4576488675637,0.26845849394745,101.48131286454
"5","Latency last trial log(Ratio of mean)x100","Overall minus Buratovic et al. 2014","intrcpt",25.7579470301257,20.3217303732614,31.1941636869901,1.59108831983476e-20,4.64791528159269,24.4576488675637,0.26845849394745,101.48131286454
"6","Latency last trial log(Ratio of mean)x100","Overall minus Chen et al. 2014","intrcpt",25.5958033551046,18.3329105460225,32.8586961641867,4.94025385024315e-12,5.17292438907683,22.395673574185,0.318460436777171,81.5391605126255
"7","Latency last trial log(Ratio of mean)x100","Overall minus Verma et al. 2013","intrcpt",25.5245881741392,20.0768198451773,30.9723565031012,4.18947351998067e-20,4.64891415765314,26.043200110987,0.306979422070053,90.6170690230138
"8","Latency last trial log(Ratio of mean)x100","Overall minus Eriksson et al. 2001","intrcpt",25.7579470301257,20.3217303732614,31.1941636869901,1.59108831983476e-20,4.64791528159269,24.4576488675637,0.26845849394745,101.48131286454
"9","Latency last trial log(Ratio of mean)x100","Overall minus He et al. 2011","intrcpt",27.1264769276874,20.0331025525883,34.2198513027865,6.61505314334302e-14,4.13991982411328,13.5433668200425,0.433832106362553,81.2568424437706
"10","Latency last trial log(Ratio of mean)x100","Overall minus Woods et al. 2012","intrcpt",25.8683924400664,20.3793407729757,31.3574441071571,2.54046175755717e-20,4.63684554087772,27.5253619746739,0.274327104671384,82.7713859361838
"11","Latency last trial log(Ratio of mean)x100","Overall minus Blanco et al. 2013","intrcpt",25.7579470301257,20.3217303732614,31.1941636869901,1.59108831983476e-20,4.64791528159269,24.4576488675637,0.26845849394745,101.48131286454
