study id	study name	study identifier	study published	study population id	study population name	study population age profile	study population source	design	outcome id	outcome name	outcome.mean	outcome system	outcome effect	outcome effect subtype	diagnostic	age of outcome measurement	comparison set id	comparison set name	phthalate	exposure id	exposure name	exposure metric	exposure measured	dose units	exposure.median.or.gm	age of exposure	result id	result name	result population description	statistical metric	statistical metric abbreviation	statistical metric description	result summary	dose response	statistical power	CI units	exposure group order	exposure group name	exposure group comparison name	exposure group numeric	key	result group id	N	estimate	lower CI	upper CI	variance	statistical significance	statistical significance (numeric)	main finding	main finding support
173428	Bornehag et al. 2015		FALSE	841	Swedish Environmental Longitudinal, Mother and child, Asthma and allergy (SELMA) study	pregnant women	general population	Cohort (Prospective)	24151	AGD (ap)	82.2	male reproductive system	AGD		medical professional or test	20.8 months	2099	continuous MBzP (log transformed)	BBzP	1206	MBzP (BBzP metabolite)	maternal urine	MBzP	ng/mL		in utero	4980	AGDap:MBzP		adjusted beta	adjβ	adjusted linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12455	12455	196	-0.65	-2.74	1.44		0.542	0.542	FALSE	not-reported
173428	Bornehag et al. 2015		FALSE	841	Swedish Environmental Longitudinal, Mother and child, Asthma and allergy (SELMA) study	pregnant women	general population	Cohort (Prospective)	24152	AGD (as)	41.4	male reproductive system	AGD		medical professional or test	20.8 months	2099	continuous MBzP (log transformed)	BBzP	1206	MBzP (BBzP metabolite)	maternal urine	MBzP	ng/mL		in utero	4963	AGDas:MBzP		adjusted beta	adjβ	adjusted linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12438	12438	196	-1.66	-3.56	0.25		0.088	0.088	FALSE	not-reported
173433	Jensen et al. 2016		FALSE	846	Odense child cohort	pregnant women and their children	general population	Cohort (Prospective)	24223	AGD (as)	36.9	male reproductive system	AGD		medical professional or test	3 months	2278	continuous MBzP (Log-transformed)	BBzP	1239	MBzP (BBzP metabolite)	maternal urine	MBzP	ng/mL		in utero	5315	AGDas:MBzP continuous log		adjusted beta	adjβ	adjusted linear regression model (change in mm)	"ORIGINAL DATA: 	-0.42	-1.06 - 0.21"	not-applicable	not reported or calculated	0.95	0	continuous			13201	13201	245	-0.97	-2.44	0.48		-		FALSE	not-reported
173433	Jensen et al. 2016		FALSE	846	Odense child cohort	pregnant women and their children	general population	Cohort (Prospective)	24223	AGD (ap)	36.9	male reproductive system	AGD		medical professional or test	3 months	2278	continuous MBzP (Log-transformed)	BBzP	1239	MBzP (BBzP metabolite)	maternal urine	MBzP	ng/mL		in utero	5315	AGDas:MBzP continuous log		adjusted beta	adjβ	adjusted linear regression model (change in mm)	ORIGINAL DATA: –0.27 (–0.97, 0.43)	not-applicable	not reported or calculated	0.95	0	continuous			13201	13201	245	-0.621697975	-2.23350754	0.99011159		-		FALSE	not-reported
181918	Swan 2008		FALSE	851	Study of Phthalates in Pregnant Women and Children (PPWC) cohort	pregnant women and their children	general population	Cohort (Prospective)	24494	AGD (ap)	70.4	male reproductive system	AGD		medical professional or test	mean age 12.6 months at exam	2243	continuous MBzP (log10)	BBzP	1331	MBzP (BBzP metabolite)	maternal urine	9 phthalate metabolites: MEHP, MEOHP, MEHHP, MBP, MEP, MiBP, MMP, MBzP, MCPP	ng/mL			5258	AGD (ap) MBzP		adjusted beta	adjβ	used mixed model		not-applicable	not reported or calculated	0.95	0	continuous			12964	12964	106	-0.3129	-3.102601129	2.476801129		0.826	0.826	FALSE	not-reported
173430	Swan et al. 2015		FALSE	852	The Infant Development and the Environment Study (TIDES) cohort	pregnant women and their children	general population	Cohort (Prospective)	24250	AGD (ap)	49.66	male reproductive system	AGD		medical professional or test	birth or soon after	2199	continuous MBzP (log transformed)	BBzP	1289	MBzP (BBzP metabolite)	maternal urine (trimester 1)	MBzP	ng/mL		in utero	5179	AGDap:MBzP	males	adjusted beta	adjβ	multivariable linear regression		not-applicable	not reported or calculated	0.95	0	continuous			12831	12831	366	0.38	-0.64	1.5		0.507	0.507	FALSE	not-reported
173430	Swan et al. 2015		FALSE	852	The Infant Development and the Environment Study (TIDES) cohort	pregnant women and their children	general population	Cohort (Prospective)	24249	AGD (as)	24.73	male reproductive system	AGD		medical professional or test	birth or soon after	2199	continuous MBzP (log transformed)	BBzP	1289	MBzP (BBzP metabolite)	maternal urine (trimester 1)	MBzP	ng/mL		in utero	5150	AGDas:MBzP	males	adjusted beta	adjβ	multivariable linear regression		not-applicable	not reported or calculated	0.95	0	continuous			12784	12784	366	0.16	-0.81	1.12		0.75	0.75	FALSE	not-reported
173428	Bornehag et al. 2015		FALSE	841	Swedish Environmental Longitudinal, Mother and child, Asthma and allergy (SELMA) study	pregnant women	general population	Cohort (Prospective)	24151	AGD (ap)	82.2	male reproductive system	AGD		medical professional or test	20.8 months	2097	continuous MBP (log transformed)	DBP	1204	MBP (DBP metabolite)	maternal urine	MBP	ng/mL		in utero	4976	AGDap:MBP		adjusted beta	adjβ	adjusted linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12451	12451	196	-2.06	-5.29	1.18		0.211	0.211	FALSE	not-reported
173428	Bornehag et al. 2015		FALSE	841	Swedish Environmental Longitudinal, Mother and child, Asthma and allergy (SELMA) study	pregnant women	general population	Cohort (Prospective)	24152	AGD (as)	41.4	male reproductive system	AGD		medical professional or test	20.8 months	2097	continuous MBP (log transformed)	DBP	1204	MBP (DBP metabolite)	maternal urine	MBP	ng/mL		in utero	4961	AGDas:MBP		adjusted beta	adjβ	adjusted linear regression model		not-applicable	not reported or calculated	0.95	0	continuous			12436	12436	196	-1.41	-4.39	1.57		0.351	0.351	FALSE	not-reported
181918	Swan 2008		FALSE	851	Study of Phthalates in Pregnant Women and Children (PPWC) cohort	pregnant women and their children	general population	Cohort (Prospective)	24494	AGD (ap)	70.4	male reproductive system	AGD		medical professional or test	mean age 12.6 months at exam	2240	continuous MBP (log10)	DBP	1328	MBP (DBP metabolite)	maternal urine	9 phthalate metabolites: MEHP, MEOHP, MEHHP, MBP, MEP, MiBP, MMP, MBzP, MCPP	ng/mL			5255	AGD (ap) MBP		adjusted beta	adjβ	used mixed model		not-applicable	not reported or calculated	0.95	0	continuous			12961	12961	106	-3.255	-6.495734414	-0.014265586		0.049	0.049	FALSE	not-reported
