"","phthalate","species","effect","b.lab","b.parm","b","ci.lb","ci.ub","pval","tau","I2","QEp","AICc"
"1","DEHP","Rat","AGD log(Ratio of mean)","Overall","intrcpt",-3.95884499570328,-5.06900377516496,-2.8486862162416,2.76330559732062e-12,3.4816929381232,45.7396628174833,1.92616795521216e-06,680.045857633593
"2","DEHP","Rat","AGD log(Ratio of mean)","Overall minus Christiansen et al. 2009","intrcpt",-4.22771401620025,-5.36953560503683,-3.08589242736367,3.95851838298674e-13,3.42825019139076,37.5778954691834,0.000675553880917592,662.787360433364
"3","DEHP","Rat","AGD log(Ratio of mean)","Overall minus Christiansen et al. 2010","intrcpt",-3.69320670410462,-4.88184948480576,-2.50456392340349,1.1307837485386e-09,3.52990112271546,46.2482801109034,6.48089435995873e-06,618.76010179174
"4","DEHP","Rat","AGD log(Ratio of mean)","Overall minus Culty et al. 2008","intrcpt",-3.8621126187231,-4.99019472354751,-2.7340305138987,1.94422676052074e-11,3.51443239488777,47.3355590074827,2.03935938721325e-06,634.250765804132
"5","DEHP","Rat","AGD log(Ratio of mean)","Overall minus Lin et al. 2008","intrcpt",-4.02021427395721,-5.13345753706662,-2.90697101084781,1.4630719748052e-12,3.33005968573387,43.193484906022,1.61317123315363e-05,658.784440706042
"6","DEHP","Rat","AGD log(Ratio of mean)","Overall minus Gray et al. 2009","intrcpt",-3.88653136160979,-5.01541910443059,-2.75764361878899,1.50146918659999e-11,3.4336437255618,45.1263827974715,6.11830530027343e-06,653.437612047464
"7","DEHP","Rat","AGD log(Ratio of mean)","Overall minus Lin et al. 2009","intrcpt",-3.72101966099733,-4.77681785056812,-2.66522147142655,4.92813100061922e-12,2.97354825685,37.7946803783736,0.000628126205897094,656.628273433057
"8","DEHP","Rat","AGD log(Ratio of mean)","Overall minus Li et al. 2013","intrcpt",-3.94724957352273,-5.05920458895105,-2.83529455809442,3.46275588643796e-12,3.48618611725577,46.4935429632787,8.49890918402684e-07,655.790918305799
"9","DEHP","Rat","AGD log(Ratio of mean)","Overall minus Jarfelt et al. 2005","intrcpt",-3.4369513779978,-4.43971785627917,-2.43418489971643,1.84594383949452e-11,2.59289607208554,31.646392632996,0.0124782022039521,650.980998673984
"10","DEHP","Rat","AGD log(Ratio of mean)","Overall minus Moore et al. 2001","intrcpt",-3.91476156816466,-5.03009324504354,-2.79942989128578,6.01131377713463e-12,3.48499554733121,45.8859085701722,2.03115050407379e-06,673.844784541816
"11","DEHP","Rat","AGD log(Ratio of mean)","Overall minus Zhang et al. 2013","intrcpt",-3.95593809967004,-5.07291881861049,-2.8389573807296,3.88020845827269e-12,3.5019716168241,46.1580291487012,1.4548322997727e-06,674.377077028816
"12","DEHP","Rat","AGD log(Ratio of mean)","Overall minus Andrade et al. 2006","intrcpt",-4.04474473382023,-5.20314511565893,-2.88634435198153,7.72622278197863e-12,3.59286619071361,48.9731790683321,2.11076381204785e-07,616.806509646017
"13","DEHP","Rat","AGD log(Ratio of mean)","Overall minus Martino-Andrade et al. 2009","intrcpt",-4.00569767243787,-5.13459204646262,-2.87680329841313,3.53531877937281e-12,3.53039101097463,45.5617094614183,1.50970378474041e-06,675.200161608509
"14","DEHP","Rat","AGD log(Ratio of mean)","Overall minus Wolfe and Layton 2005","intrcpt",-5.58503740359758,-7.71812009125914,-3.45195471593602,2.87042681760641e-07,5.37187104237383,72.7491492030722,2.60226324571037e-14,314.530962329889
"15","DEHP","Rat","AGD log(Ratio of mean)","Trend in log10(dose)","log10(dose)",-1.97418936977952,-2.98463593505972,-0.963742804499316,0.000128489138314524,3.00168166950319,38.4575638406195,0.000437190454389025,662.959900706343
"16","DEHP","Rat","AGD log(Ratio of mean)","Linear in dose100","dose100",-1.54675236643087,-1.85801201849879,-1.23549271436295,2.04134881958431e-22,1.97267036106226,22.0518140987235,0.123936535352457,659.46036105914
